"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AK016812"	5	16	6	16	14	9	11	9	14	3	15	12	8	4	15	13	10	6	4	7	10	13	11	9	4
"AK016848"	11	9	14	5	15	6	4	12	6	16	14	15	14	12	2	10	11	4	9	4	12	2	13	15	2
"AK017062"	2	13	6	15	14	9	14	2	3	10	15	5	2	7	16	12	10	2	8	3	9	11	12	9	1
"AK017105"	12	4	16	15	10	3	7	15	5	5	16	14	2	7	14	2	12	14	3	3	5	9	2	14	1
"AK017132"	8	15	7	2	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	4	16	10	13	12
"AK017255"	11	6	13	13	15	13	4	12	6	14	16	15	14	12	2	10	11	4	9	4	16	15	11	11	2
"AK017308"	11	9	8	1	15	16	4	5	10	14	2	15	14	12	2	10	11	13	9	4	16	15	8	8	8
"AK017353"	3	2	10	12	5	12	1	12	6	13	5	5	2	12	12	2	10	4	6	3	13	1	7	11	2
"AK017377"	11	9	8	14	15	11	15	12	6	14	2	15	14	12	2	10	11	13	9	4	16	15	16	4	11
"AK017399"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK017418"	10	4	16	3	9	7	7	14	16	15	12	14	10	2	10	16	6	14	3	11	14	8	2	3	15
"AK017423"	3	2	10	12	11	12	5	12	7	13	5	8	4	6	11	1	15	4	6	9	13	1	7	10	2
"AK017478"	5	11	6	16	14	9	14	9	14	10	15	12	3	4	16	12	4	6	10	7	9	13	11	5	4
"AK017495"	2	13	9	16	5	5	11	2	3	10	8	5	8	1	15	12	10	2	8	7	9	11	12	6	2
"AK017574"	3	5	10	12	11	12	5	12	6	13	5	8	4	6	11	1	15	4	6	16	13	1	7	10	2
"AK017692"	11	9	12	5	15	6	4	10	1	14	16	15	14	12	2	10	11	4	9	4	16	15	13	7	13
"AK017789"	2	13	9	16	5	5	16	2	3	10	8	5	7	1	5	12	3	2	8	7	9	11	12	6	10
"AK017886"	9	7	11	9	14	10	8	13	12	7	1	2	3	16	1	11	1	11	15	10	1	7	3	1	6
"AK017915"	2	11	6	16	14	9	14	9	3	10	15	10	3	4	5	12	10	6	8	7	9	12	12	5	10
"AK017919"	7	8	3	14	4	11	15	11	11	14	2	11	16	13	3	3	2	13	12	12	3	15	16	4	11
"AK018125"	5	16	6	16	5	9	11	2	3	10	15	12	8	1	15	12	10	6	10	7	9	13	12	5	10
"AK018165"	12	4	16	15	10	14	12	16	4	15	16	14	6	13	3	16	12	15	14	12	11	9	9	14	15
"AK018205"	8	15	7	2	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	12	16	10	13	12
"AK018221"	11	6	1	3	16	1	10	12	6	14	16	15	14	12	10	10	11	4	9	4	15	15	14	11	2
"AK018356"	3	2	10	12	11	12	5	7	7	13	5	8	4	6	11	1	15	7	6	9	13	1	7	10	7
"AK018474"	11	9	14	5	15	6	4	10	15	16	14	15	14	11	2	10	11	4	9	4	16	2	13	15	13
"AK018511"	12	4	16	15	10	3	11	15	5	5	16	6	2	7	15	2	12	14	10	3	5	13	6	14	1
"AK018520"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK018844"	12	4	16	6	10	7	7	16	16	15	12	14	11	2	14	16	6	14	3	11	14	8	2	14	15
"AK018918"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK019079"	3	2	10	12	11	12	5	7	7	13	5	8	4	6	11	1	15	7	6	9	13	1	7	10	7
"AK019270"	11	5	1	3	16	1	10	3	8	11	16	16	10	14	10	10	5	13	16	16	15	6	14	4	11
"AK019365"	2	13	9	16	5	5	11	2	3	5	8	5	8	1	15	2	12	2	8	7	9	11	12	6	1
"AK019475"	5	16	12	13	16	13	1	3	1	3	11	12	15	8	12	14	4	9	10	13	2	13	11	7	9
"AK019526"	5	11	6	10	14	9	14	9	14	6	15	12	3	4	16	13	10	6	10	1	9	13	11	9	4
"AK019592"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK019605"	5	1	1	15	16	3	13	15	5	3	16	6	2	7	15	2	12	3	16	3	5	13	6	6	1
"AK019637"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK019761"	2	13	6	16	5	5	11	2	3	10	15	5	8	1	15	12	10	2	8	7	9	11	12	6	10
"AK019912"	14	9	8	1	6	16	3	5	10	2	6	13	13	9	2	4	9	16	11	2	6	14	8	8	8
"AK019925"	2	13	9	15	5	3	13	15	5	5	16	5	2	7	4	2	12	2	16	3	5	9	12	6	1
"AK020013"	15	9	14	5	15	6	4	10	15	16	14	15	1	11	2	4	8	12	9	6	12	2	13	15	13
"AK020038"	5	16	13	10	16	9	11	3	6	3	15	12	8	12	15	14	4	4	10	7	2	13	11	11	9
"AK020076"	11	9	12	13	15	13	4	12	1	14	16	15	15	12	2	10	11	4	9	4	16	15	11	7	9
