"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AF124721"	17	17	16	9	3	12	4	19	10	12	18	8	17	13	7	3	19	14	14	14	9	7	5	14	13
"AF127140.1"	10	18	15	7	9	11	8	4	5	17	17	13	14	7	18	3	18	6	6	7	13	11	7	16	13
"AF129738"	13	13	2	3	12	7	5	8	13	2	4	2	13	2	16	7	10	18	15	11	7	1	17	17	18
"AF139595"	6	1	9	19	2	1	16	2	12	19	14	18	9	8	12	16	6	2	1	9	11	2	12	12	1
"AF180471"	1	17	16	7	19	2	15	4	5	12	18	13	17	9	3	3	18	14	8	14	14	7	5	14	13
"AF198092"	8	3	7	14	7	18	6	14	19	18	16	7	5	14	14	15	19	3	16	16	15	14	14	10	19
"AF210281"	17	6	16	9	3	12	6	19	10	12	3	8	18	13	7	1	19	7	14	4	9	17	18	15	14
"AF217545"	10	18	15	7	9	11	8	4	2	17	17	13	14	7	18	3	18	6	6	7	13	11	7	16	3
"AF223362"	19	1	3	13	4	1	14	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AF275549"	13	13	2	3	13	7	5	8	11	8	4	17	13	2	16	7	10	18	12	8	1	8	17	17	18
"AF346836"	13	13	2	3	13	7	5	8	11	8	4	17	13	2	16	7	10	18	12	13	1	1	17	17	18
"AF425084"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	1	8	6	8	12
"AF441786"	16	16	18	15	18	19	18	19	16	9	2	15	11	4	17	9	2	9	9	1	5	10	1	4	5
"AF464177"	19	1	3	13	4	1	13	6	12	10	11	6	9	17	12	10	6	2	7	9	11	3	4	12	1
"AF510652"	18	13	19	17	14	9	5	15	11	6	15	16	3	19	2	14	10	5	19	19	18	9	15	6	6
"AI509818"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AI840334"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AJ278768"	2	19	5	16	12	9	10	9	13	2	15	16	3	1	2	14	1	13	15	19	7	19	8	9	4
"AJ293727"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AJ558021"	11	14	4	12	16	9	6	18	17	6	15	16	3	1	2	14	4	19	13	19	19	19	8	9	4
"AK002213"	1	17	16	9	19	2	15	13	4	1	18	9	17	9	3	2	7	14	8	14	14	7	5	14	10
"AK002217"	6	4	12	2	2	10	16	7	3	5	14	18	12	8	10	16	13	4	1	17	10	2	12	3	7
"AK002608"	19	1	9	13	4	1	6	2	12	10	11	6	9	17	12	10	19	2	7	3	11	3	4	12	1
"AK003142"	1	7	9	9	3	2	6	2	4	1	19	1	17	9	14	2	17	10	3	9	12	7	5	15	14
"AK003738"	17	6	16	15	3	12	4	19	10	12	3	8	11	13	7	3	9	14	14	10	9	17	18	4	3
"AK003760"	17	6	16	7	9	12	4	19	10	12	18	8	14	13	7	3	9	14	14	10	9	7	1	16	3
"AK003941"	3	12	14	5	13	16	12	11	15	15	4	17	4	18	6	13	12	8	12	5	1	8	10	11	8
"AK004056"	17	6	16	9	3	12	4	19	10	12	3	8	18	13	7	1	19	7	14	4	9	17	18	15	14
"AK004226.7"	17	18	15	7	9	11	8	4	5	12	18	8	14	7	18	3	18	14	6	7	9	7	7	16	13
"AK004418"	17	6	16	9	3	12	4	19	10	12	3	8	18	13	7	1	19	7	14	4	9	17	18	15	14
"AK004568"	11	11	4	12	16	9	5	18	11	6	15	16	3	1	2	14	4	19	13	19	10	19	8	9	4
"AK004622"	13	13	2	3	12	7	5	8	11	8	4	17	13	2	16	7	10	18	12	13	1	1	17	17	18
"AK005150"	17	16	7	15	3	12	18	19	10	12	3	8	11	13	7	9	19	9	14	12	5	4	1	4	5
"AK005220"	2	19	5	2	12	7	5	9	13	2	13	3	13	2	16	7	10	13	15	19	1	8	17	2	4
"AK005583"	2	9	5	1	11	6	19	10	13	7	9	11	6	3	11	11	8	13	5	15	2	16	3	2	9
"AK005750"	19	1	3	2	4	1	14	6	12	5	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AK005796"	12	15	9	8	17	16	11	2	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AK006020"	6	4	12	19	2	10	16	7	3	19	14	18	12	8	10	16	13	4	1	17	10	2	12	3	7
"AK006583"	19	1	3	2	4	1	14	6	12	10	11	6	9	17	4	10	6	2	7	3	16	3	4	12	1
"AK006636"	2	19	5	16	12	17	6	9	13	2	13	1	3	6	2	5	1	13	15	11	7	5	11	9	4
"AK006817"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AK006823"	13	13	2	3	16	7	5	8	11	8	4	17	13	2	16	7	10	18	12	19	1	8	17	17	18
"AK007019"	15	10	13	1	13	4	19	10	14	7	9	11	1	12	11	12	8	17	5	15	2	16	3	5	9
"AK007209"	14	19	1	11	6	17	17	12	8	16	6	2	10	6	19	5	3	16	2	11	7	5	13	7	15
"AK007316"	19	1	3	13	4	1	14	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AK007368"	2	19	11	16	12	17	10	12	13	2	13	1	7	6	19	5	1	13	15	16	16	5	11	1	16
"AK007371"	13	13	2	3	11	7	10	8	11	8	4	4	13	2	11	7	10	18	12	8	2	8	17	2	9
"AK007637"	9	8	8	6	5	15	7	16	1	14	10	2	15	5	8	4	15	12	18	18	4	12	16	19	15
"AK007812"	2	19	5	16	12	17	6	9	13	2	13	1	7	6	19	14	1	13	15	16	16	14	11	1	16
"AK008026"	2	9	2	3	12	7	5	8	13	2	4	3	13	2	16	5	10	18	15	11	7	1	17	9	18
"AK008330"	11	19	4	12	16	9	6	18	13	6	15	16	3	1	2	14	1	16	13	19	7	19	8	9	4
"AK008545"	6	4	12	19	2	10	16	7	3	19	14	18	12	8	10	16	13	4	1	17	10	2	12	3	7
"AK008598"	11	11	4	12	16	9	12	18	15	6	15	16	3	1	2	14	4	19	13	19	19	19	8	9	8
"AK008679"	2	3	14	16	1	9	6	9	13	2	13	1	7	16	4	14	1	13	16	6	16	14	14	1	4
"AK008770"	17	6	16	9	3	12	6	13	17	12	3	1	19	13	7	1	19	7	4	6	9	13	18	14	14
"AK008862"	15	9	13	1	11	14	19	10	14	7	9	4	1	3	11	12	8	17	5	15	2	16	3	2	9
"AK008869"	2	19	5	16	12	17	10	9	13	2	13	3	10	6	19	11	1	13	15	11	7	5	11	2	16
"AK008898"	2	12	14	16	11	4	10	9	15	13	13	11	7	12	6	15	1	13	16	16	2	14	14	2	8
"AK009140"	10	6	6	15	9	19	8	19	10	12	2	19	11	7	7	3	9	9	6	10	13	11	1	4	3
"AK009216"	3	6	19	5	3	12	4	11	6	4	3	10	18	13	6	1	19	7	14	4	18	17	18	11	14
"AK009586"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AK009638"	19	1	3	13	4	1	14	6	12	10	11	6	9	17	12	10	6	2	7	12	11	3	4	12	1
"AK009740"	8	6	7	15	9	19	2	19	18	12	2	8	19	15	9	6	9	14	14	10	9	4	1	4	3
"AK010233"	17	7	16	9	3	3	13	13	4	1	18	9	17	16	14	2	17	7	3	6	12	6	5	15	14
"AK010610"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AK010630"	1	18	15	7	9	11	15	4	5	17	18	13	14	7	18	3	18	14	6	10	13	7	7	16	13
"AK010841"	2	19	5	16	12	17	10	9	13	2	13	3	10	6	19	5	1	13	15	11	7	5	11	1	16
"AK011275"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AK011656"	18	7	19	9	1	17	6	9	6	2	13	1	18	16	4	5	17	7	16	6	18	17	18	15	14
"AK011675"	17	6	16	7	3	12	4	4	5	12	3	8	14	13	7	3	18	14	14	10	9	17	18	16	3
"AK011730"	2	9	8	6	12	6	10	16	13	2	10	14	10	3	8	11	15	13	15	11	7	5	16	2	15
"AK011739"	14	8	1	11	6	15	17	1	8	16	6	2	3	5	2	4	3	16	2	19	7	1	13	7	18
"AK011948"	17	6	16	15	3	12	4	19	10	12	3	8	11	13	7	1	19	7	14	4	5	17	18	4	14
"AK012459"	2	3	14	14	7	4	10	9	19	13	16	7	7	14	4	15	1	3	16	16	16	14	14	10	19
"AK012892"	18	5	19	17	14	13	1	15	6	4	12	10	8	19	5	19	5	5	19	4	18	9	15	6	6
"AK013060"	3	12	10	5	13	16	11	17	10	15	8	17	4	18	1	13	19	8	12	5	1	8	10	11	8
"AK013113"	2	19	5	16	12	17	10	12	13	2	13	3	10	6	19	5	1	13	15	11	7	5	11	2	15
"AK013208"	16	6	18	15	18	19	18	19	10	9	2	15	11	13	7	9	9	9	14	10	5	17	1	4	3
"AK013289"	2	3	5	16	12	17	10	9	13	2	13	3	7	6	4	15	1	13	16	16	16	14	11	1	16
"AK013342"	3	12	14	5	13	4	12	11	15	13	8	11	6	13	6	13	19	7	16	4	6	14	10	11	8
"AK013354"	8	3	7	14	7	18	13	14	19	18	16	7	5	14	14	15	7	3	16	16	16	14	14	10	19
"AK013390"	6	4	12	19	2	10	16	7	3	19	14	18	12	8	10	16	13	4	1	17	10	2	12	3	7
"AK013537"	14	19	1	11	6	15	17	16	8	16	6	2	10	6	8	5	3	16	2	11	7	5	13	7	15
"AK013545"	5	14	17	10	15	8	9	5	7	3	5	5	2	11	13	8	16	15	17	2	6	15	2	18	2
"AK013604"	14	19	1	11	12	17	17	12	13	16	6	3	10	6	19	5	3	16	15	11	7	5	13	7	15
"AK013614"	13	13	2	3	14	7	5	8	11	8	4	17	8	2	16	7	10	5	12	13	1	15	17	17	18
"AK013634"	16	16	18	15	18	19	18	19	10	9	2	15	11	4	7	9	2	9	9	1	5	10	1	4	5
"AK013702"	1	3	11	18	7	2	13	14	19	18	16	7	5	14	14	2	7	3	16	16	15	13	14	10	19
"AK013704"	14	19	1	11	12	17	17	12	13	2	6	14	10	6	19	5	1	16	15	11	7	5	11	7	15
"AK013749"	3	12	14	5	13	4	12	11	15	13	8	11	6	12	6	13	11	11	16	12	2	8	10	11	8
"AK013809"	3	11	14	12	16	9	6	18	17	6	15	16	3	1	6	14	4	19	13	19	19	19	8	9	4
"AK013859"	17	6	7	15	9	12	18	19	10	12	18	8	11	13	7	6	19	14	14	12	9	4	1	4	13
"AK014075"	18	5	19	17	14	1	1	15	6	4	11	10	18	17	5	19	6	7	19	4	18	9	15	6	6
"AK014260"	13	14	10	2	17	10	5	17	3	5	4	17	4	8	1	8	12	4	11	17	1	8	17	8	12
"AK014401"	18	19	19	16	12	13	10	9	6	2	13	3	10	6	19	5	1	13	15	11	7	5	11	6	6
"AK014541"	2	19	5	16	11	6	10	9	13	2	13	3	10	6	19	11	1	13	15	11	2	5	11	2	16
"AK014593"	2	19	5	16	11	6	10	9	13	2	13	14	10	6	19	11	1	13	15	11	7	5	11	2	4
"AK014656"	6	4	12	19	2	10	16	7	3	19	14	18	12	8	10	16	13	4	1	17	10	2	12	3	7
"AK014662"	4	3	11	18	7	2	13	13	19	18	16	9	7	14	4	2	7	10	8	16	16	13	14	14	10
"AK014695"	17	14	17	10	3	12	4	19	10	12	3	8	2	13	7	1	19	7	14	4	6	17	18	18	14
"AK014745"	18	5	19	17	14	13	1	15	6	4	3	10	18	13	5	1	5	7	19	4	18	17	18	6	14
"AK014937"	6	19	12	2	2	9	6	7	3	5	15	16	3	6	2	14	13	16	1	19	10	19	12	9	4
"AK015010"	2	19	5	16	12	17	10	12	13	2	13	1	10	6	19	5	1	13	15	11	7	5	11	1	16
"AK015028"	16	16	18	15	18	19	18	19	10	9	2	15	11	13	7	9	19	9	14	12	5	3	1	4	5
"AK015056"	9	8	8	6	5	6	7	16	1	14	10	14	15	5	8	4	15	12	18	18	4	12	16	19	15
"AK015069"	5	14	17	10	15	8	9	5	7	3	5	5	2	11	13	18	16	15	17	2	6	15	2	18	2
"AK015226"	2	3	14	16	11	4	10	9	13	2	13	3	7	16	4	15	1	13	16	16	16	14	11	2	16
"AK015330"	2	19	5	16	12	17	10	9	13	2	13	3	10	6	19	5	1	13	15	11	7	5	11	2	16
"AK015414"	5	14	17	10	15	8	9	5	18	3	5	5	2	11	9	18	9	15	17	10	6	13	2	10	2
"AK015459"	2	19	5	16	12	17	10	9	13	2	13	3	7	17	4	15	1	13	16	3	16	14	11	2	16
"AK015494"	8	3	14	14	7	9	6	9	17	18	16	1	19	14	4	15	4	3	16	16	16	13	14	10	4
"AK015570"	2	12	14	12	13	4	12	11	15	6	15	16	3	8	2	16	11	4	15	19	1	8	10	11	8
"AK015647"	19	1	5	2	2	1	6	9	12	5	11	3	9	17	10	16	6	2	7	3	11	3	4	12	1
"AK015665"	19	3	17	18	7	2	6	14	19	18	19	7	19	14	4	10	7	15	4	16	16	13	14	10	1
"AK015839"	8	17	7	14	7	18	2	14	19	18	16	7	19	14	3	6	7	3	4	6	14	13	5	10	19
"AK015841"	2	9	5	16	11	6	10	9	13	2	13	3	13	3	11	11	1	13	15	11	2	1	11	2	18
"AK016058"	19	1	3	13	4	1	16	2	12	10	11	6	9	17	12	10	6	2	7	9	11	3	4	12	1
"AK016060"	3	11	14	5	16	9	6	11	17	6	15	1	3	1	6	14	4	19	13	19	19	19	8	9	4
"AK016133"	1	17	16	7	19	2	15	13	5	12	18	13	17	9	3	2	18	14	8	14	14	7	5	14	13
"AK016239"	11	11	4	12	16	9	6	18	7	6	15	16	3	1	2	14	4	19	13	19	19	19	8	9	4
"AK016242"	2	19	1	11	12	9	10	18	13	2	15	16	3	6	2	14	1	16	13	19	7	19	8	9	4
"AK016261"	11	11	4	12	16	9	6	18	13	6	15	16	3	1	2	14	1	13	13	19	2	19	8	9	4
"AK016265"	17	6	16	9	3	12	4	19	10	12	3	8	18	13	7	1	19	7	14	4	9	17	18	15	14
"AK016547"	6	4	12	19	2	10	16	7	3	19	14	18	12	8	10	16	13	4	1	17	10	2	12	3	7
"AK016549"	5	14	17	14	7	12	9	14	7	12	16	7	2	11	13	1	16	15	17	2	6	15	14	10	2
"AK016661"	2	3	14	14	7	18	10	9	19	2	16	7	7	14	4	15	1	13	16	16	16	14	14	10	16
"AK016718"	16	18	18	15	9	19	8	19	10	9	2	19	11	7	7	3	9	6	6	10	13	11	1	4	3
"AK016812"	2	12	5	16	13	4	10	9	15	2	13	3	13	2	16	7	1	13	12	3	2	8	11	2	16
"AK016848"	16	6	18	15	3	12	18	19	10	9	3	15	11	13	7	1	19	7	14	4	5	17	18	4	5
"AK017062"	2	19	5	16	11	4	10	11	13	2	13	16	3	12	2	11	11	13	15	19	7	5	11	2	4
"AK017105"	6	4	12	12	2	9	6	7	3	6	15	16	3	8	2	16	4	4	13	19	10	19	12	9	4
"AK017132"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AK017255"	17	6	16	9	3	12	4	19	10	12	3	8	18	13	7	1	19	7	14	10	9	17	18	15	14
"AK017308"	17	6	16	7	3	2	4	4	5	12	3	8	19	13	7	1	9	14	4	10	9	17	18	16	3
"AK017353"	18	7	19	17	1	13	10	15	6	4	13	10	18	16	19	14	17	7	19	4	12	5	11	15	14
"AK017377"	17	6	16	9	3	12	4	19	10	12	18	8	19	13	7	1	9	14	14	10	9	17	18	14	3
"AK017399"	19	1	3	13	4	1	14	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AK017418"	5	4	12	19	15	10	16	7	3	19	14	18	12	8	10	16	13	4	1	17	10	2	12	18	2
"AK017423"	18	5	19	17	14	13	1	15	6	4	12	10	8	19	5	19	5	5	19	4	18	9	15	6	6
"AK017478"	2	12	14	16	11	4	10	11	15	13	13	11	6	12	6	11	11	13	16	15	2	14	11	2	8
"AK017495"	2	19	19	16	12	17	10	9	6	2	13	3	10	16	19	5	1	13	15	11	7	5	11	2	16
"AK017574"	18	14	19	17	14	13	1	15	6	4	3	10	8	11	5	1	5	7	19	4	18	17	18	6	6
"AK017692"	17	6	7	14	3	12	6	19	10	12	18	8	5	13	7	1	19	14	14	12	9	17	1	10	13
"AK017789"	14	19	1	11	12	17	17	12	13	2	6	3	10	6	19	5	1	16	15	11	7	5	13	7	15
"AK017886"	15	10	13	1	10	14	19	10	14	7	9	4	1	10	11	12	8	17	5	8	17	16	3	5	9
"AK017915"	2	9	5	16	11	6	10	16	13	2	13	14	10	3	11	11	1	13	15	15	2	5	11	2	9
"AK017919"	1	7	9	9	19	3	13	2	4	1	19	9	17	9	14	2	17	10	3	9	12	6	9	14	10
"AK018125"	2	9	5	16	11	4	10	9	13	2	13	11	6	3	19	11	1	13	15	11	2	5	11	2	16
"AK018165"	19	11	9	12	16	1	6	2	17	6	15	16	9	17	12	16	4	2	7	9	19	19	8	12	1
"AK018205"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	5	18	6	8	12
"AK018221"	17	6	16	9	3	12	6	5	17	12	3	1	19	13	4	1	9	7	14	10	9	17	18	15	14
"AK018356"	18	5	19	17	14	13	1	15	6	4	12	10	8	19	5	19	5	5	19	13	18	9	15	6	6
"AK018474"	17	6	16	15	3	12	18	19	10	12	3	8	11	13	7	1	19	9	14	10	5	17	1	4	3
"AK018511"	2	4	14	16	2	9	6	9	13	2	13	16	3	8	2	14	1	13	16	19	16	19	8	2	4
"AK018520"	19	1	3	13	4	1	14	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AK018844"	6	4	12	2	2	10	16	7	3	5	14	18	12	8	10	16	13	4	1	17	10	2	12	3	7
"AK018918"	19	1	3	13	4	1	14	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AK019079"	18	5	19	17	14	13	1	15	6	4	12	10	8	19	5	19	5	5	19	13	18	9	15	6	6
"AK019270"	17	6	16	18	7	2	6	5	17	3	19	1	19	13	4	1	9	15	4	10	14	13	2	14	19
"AK019365"	14	19	1	16	12	17	10	12	13	2	6	1	10	6	19	5	1	16	15	11	7	5	13	1	16
"AK019475"	3	3	14	14	7	18	13	14	19	18	16	7	5	14	6	15	17	3	16	6	15	14	14	10	19
"AK019526"	2	9	14	16	11	4	10	9	15	13	13	11	6	12	6	13	1	13	16	15	2	14	11	2	8
"AK019592"	19	1	3	13	4	1	14	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AK019605"	11	11	4	12	16	9	6	18	17	6	15	1	3	1	2	14	4	19	13	19	19	19	8	9	4
"AK019637"	19	1	3	2	2	1	14	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AK019761"	2	19	5	16	11	17	10	9	13	2	13	3	10	6	19	11	1	13	15	11	7	5	11	2	16
"AK019912"	17	6	15	7	9	11	8	4	10	17	17	13	14	7	7	3	9	6	6	10	13	11	7	16	3
"AK019925"	14	19	1	11	12	9	6	12	13	2	15	1	3	6	2	14	1	16	13	19	7	19	13	9	4
"AK020013"	17	6	18	15	9	19	18	19	10	12	2	8	11	15	7	3	9	9	14	10	5	4	1	4	3
"AK020038"	3	3	14	16	7	4	10	9	15	13	13	1	7	16	6	15	1	13	16	6	16	14	14	11	16
"AK020076"	17	3	7	9	3	12	4	19	10	12	3	8	5	13	7	1	19	7	14	6	9	17	14	15	14
"AK020107"	3	5	19	17	14	12	1	15	6	4	15	16	18	19	5	14	5	7	19	4	18	9	8	6	8
"AK020158"	13	13	2	3	2	7	5	7	11	5	4	17	12	8	10	7	10	4	12	17	1	8	17	17	7
"AK020168"	2	12	14	16	7	4	10	9	15	13	13	7	7	14	6	15	1	13	16	16	16	14	14	10	8
"AK020257"	16	16	18	15	18	19	18	19	10	9	2	15	11	13	7	9	2	9	9	12	5	4	1	4	5
"AK020289"	2	9	5	16	11	4	10	9	13	2	13	11	7	12	11	11	1	13	16	15	2	14	11	2	9
"AK020313"	16	16	18	15	18	19	18	19	10	9	2	15	11	15	7	9	2	9	9	1	5	4	1	4	5
"AK020360"	19	3	3	14	7	1	6	6	17	18	16	7	19	14	12	6	6	2	4	16	14	13	14	10	1
"AK020414"	13	12	14	5	13	16	6	17	17	8	8	17	4	11	16	13	4	19	11	19	1	8	10	11	8
"AK020424"	2	9	5	16	11	4	10	9	13	2	13	3	6	3	11	11	1	13	15	15	2	8	11	2	9
"AK020438"	17	6	7	15	9	2	2	14	18	12	18	8	19	15	9	3	9	14	14	10	9	13	1	16	3
"AK020500"	17	6	16	9	3	12	6	14	17	12	3	1	18	13	7	1	19	7	14	6	9	17	18	10	14
"AK020517"	17	6	16	7	9	11	4	4	5	12	18	8	19	13	7	3	9	14	4	10	9	7	7	16	13
"AK020598"	1	17	15	7	19	2	15	4	5	17	18	13	19	9	3	3	18	14	8	14	14	7	5	14	13
"AK020601"	18	5	19	17	14	13	1	15	6	4	12	10	18	19	5	19	5	7	19	4	18	9	15	6	6
"AK020664"	18	5	19	17	3	12	4	15	6	4	3	10	18	13	5	1	19	7	14	4	18	17	18	15	14
"AK020725"	17	17	16	7	9	2	15	4	5	12	18	13	14	9	3	3	18	14	6	10	9	7	5	16	13
"AK020759"	17	17	16	9	3	12	4	13	10	12	3	8	5	13	14	1	19	7	14	6	9	17	18	15	14
"AK020773"	5	14	17	10	15	8	9	5	7	3	5	5	2	11	13	18	16	15	17	2	6	15	2	18	2
"AK020954"	3	3	14	16	7	4	10	9	15	13	13	11	7	16	6	15	1	13	16	16	16	14	14	15	16
"AK021024"	2	3	11	2	7	1	13	9	19	18	19	1	7	17	4	15	1	10	16	16	16	14	14	1	16
"AK021026"	6	4	12	19	2	10	16	7	3	19	14	18	12	8	10	16	13	4	1	17	10	2	12	3	7
"AK021217"	18	5	19	11	6	13	1	1	6	4	6	10	3	19	2	19	3	16	2	19	18	9	13	7	6
"AK021265"	2	3	14	16	7	8	6	9	19	6	13	1	7	11	4	15	16	15	16	16	16	14	14	10	4
"AK021321"	12	4	12	19	2	10	16	2	12	19	14	18	9	8	12	10	6	2	1	9	8	2	12	12	12
"AK021343"	16	6	18	15	3	12	18	19	10	9	3	15	11	13	7	1	19	9	14	4	5	17	1	4	5
"AK021408"	14	19	1	11	6	15	17	1	8	16	6	2	10	5	8	4	3	16	2	11	7	12	13	7	15
"AK028016"	5	14	9	18	7	1	6	2	7	18	5	1	7	17	4	10	16	15	17	16	16	13	14	10	1
"AK028499"	18	5	19	17	14	13	1	15	6	4	15	10	18	19	5	19	5	7	19	19	18	9	15	6	14
"AK028510"	3	3	14	9	3	12	4	11	10	12	3	8	18	16	6	15	19	7	14	6	9	17	18	15	14
"AK028856"	19	1	3	13	4	1	14	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AK028982"	9	8	8	6	5	15	7	16	13	14	10	2	15	5	8	4	15	12	18	18	4	12	16	19	15
"AK028994"	16	16	18	15	8	19	18	19	10	11	2	19	11	4	7	9	14	9	10	1	3	10	1	4	17
"AK029171"	13	13	2	3	5	7	5	8	11	14	4	17	13	2	16	7	10	18	12	15	1	1	17	17	18
"AK029175"	18	5	19	17	14	13	1	15	6	4	12	10	18	19	5	14	5	7	19	4	18	17	18	6	14
"AK029243"	18	5	19	17	3	12	4	15	6	4	3	10	18	13	5	1	19	7	14	4	18	17	18	15	14
"AK029272"	15	9	13	1	11	6	19	10	14	7	9	14	1	3	11	11	8	17	5	15	2	16	3	2	9
"AK029281"	12	15	18	8	17	16	11	17	9	15	7	12	4	15	1	8	12	8	11	5	5	18	6	8	12
"AK029300"	17	6	16	14	3	12	4	19	10	12	3	8	18	13	7	1	19	7	14	4	9	17	18	10	14
"AK029378"	17	6	4	12	3	12	4	18	10	6	3	8	18	13	7	1	19	7	14	4	19	17	18	15	14
"AK029391"	17	17	16	9	3	12	4	19	10	12	18	8	5	13	7	1	19	14	14	12	9	17	5	15	19
"AK029539"	11	11	4	12	16	9	6	18	17	6	15	1	3	1	4	14	4	13	13	19	16	19	8	9	4
"AK029601"	18	5	19	17	14	13	1	15	6	4	3	10	18	19	5	1	5	7	19	4	18	17	18	6	14
"AK029757"	19	16	18	14	18	19	18	19	10	9	11	15	11	13	7	9	19	9	9	3	5	3	4	10	5
"AK029840"	2	3	14	16	11	17	10	9	13	2	13	1	7	6	6	15	1	13	16	16	16	14	11	2	16
"AK029860"	19	1	12	2	2	1	6	7	12	10	11	6	18	17	12	16	6	2	7	3	11	3	18	12	1
"AK029884"	8	3	7	14	7	18	2	14	19	18	16	7	5	14	9	6	7	3	16	12	15	14	14	10	19
"AK029958"	2	3	14	16	11	4	10	9	13	2	13	1	7	16	6	15	1	13	16	16	16	14	11	2	16
"AK030114"	11	11	4	12	16	9	6	18	17	6	15	16	3	1	2	14	4	19	13	19	19	19	8	9	4
"AK030206"	6	4	12	19	2	10	16	2	3	19	14	18	12	8	12	10	13	4	1	9	10	2	12	3	7
"AK030271"	2	9	5	16	11	6	10	9	13	2	13	14	10	3	19	11	1	13	15	11	2	5	11	2	16
"AK030424"	19	1	3	13	4	1	6	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AK030450"	5	14	17	10	3	12	6	19	10	3	3	5	11	11	7	1	19	15	14	4	6	17	18	18	2
"AK030494"	3	3	14	14	7	12	6	9	19	13	16	7	5	14	6	15	19	3	16	12	16	14	14	10	12
"AK030505"	3	12	14	5	13	4	12	11	15	8	4	11	8	19	6	13	5	5	12	13	1	8	10	11	8
